State,Done,Task,Due Date,Priority,Parent Task
⚪,No,"09072024_soaAL &745NElMdl#i_i ’ INj3iAiyAFOWS,.iNte78_002.jpg",,✨ Medium,
⚪,No,PaymentConfirmation_6481378335_SRV1 (1),,✨ Medium,
⚪,No,SRVGroup_Cliente_Manual_TOC_S (1),,✨ Medium,
⚪,No,PaymentConfirmation_6481378335_SRV1 10-09-2024 04:52:18:768.pdf,,✨ Medium,
⚪,No,"08142023_CLIENT_ Barri Financial Group, LLC Slahis_ Active Account_ 43815 Balance_ $23,895_001.jpg",,✨ Medium,
⚪,No,20240818_Gmail_CBPOneAppointmentScheduled.pdf,,✨ Medium,
⚪,No,11261996_PUBLIC HEALTH_001.jpg,,✨ Medium,
⚪,No,"09072024_soaAL &745NElMdl#i_i ’ INj3iAiyAFOWS,.iNte78_001.jpg",,✨ Medium,
⚪,No,"09072024_soaAL &745NElMdl#i_i ’ INj3iAiyAFOWS,.iNte78_003.jpg",,✨ Medium,
⚪,No,09102024_Department of the Treasury Internal Revenue Service Inp.pdf,,✨ Medium,
⚪,No,Copy of QuantumHR LLP - Letter Head (1).pdf,,✨ Medium,
⚪,No,Passion,,✨ Medium,
⚪,No,ANGELA - CODYS NEW SECOND BRAIN FROM NOTION,,✨ Medium,
⚪,No,Set up Notion API to export data (via automation or manual export).,,✨ Medium,
⚪,No,Accident Tesla - Driver Zaitullah,,✨ Medium,
⚪,No,Next Action - Follow Up with Insurance,,✨ Medium,
⚪,No,"Sell Your Phone, Tablet, or Laptop for Cash | ItsWorthMore.com",,✨ Medium,
⚪,No,Sell Motorola Razr (2023) | Trade In Razr (2023),,✨ Medium,
⚪,No,Print the tree that is of Luis,,✨ Medium,
⚪,No,Print the tree that is of Luis,,✨ Medium,
⚪,No,Print the tree that is of Luis,,✨ Medium,
⚪,No,Print the tree that is of Luis,,✨ Medium,
⚪,No,[Reminder] Your Google Workspace free trial is ending,,✨ Medium,
⚪,No,[Reminder] Your Google Workspace free trial is ending,,✨ Medium,
⚪,No,Alexander docs,,✨ Medium,
⚪,No,QHR Email to Notion,,✨ Medium,
⚪,No,Your new number and wireless plan have been activated,,✨ Medium,
⚪,No,Clean smart access,,✨ Medium,
⚪,No,House 7200,,✨ Medium,
⚪,No,Review Coins,,✨ Medium,
⚪,No,Aes 3099,,✨ Medium,
⚪,No,Buy leave in conditioner,,✨ Medium,
⚪,No,Square loan payment,,✨ Medium,
⚪,No,Make deposit pnc 46,,✨ Medium,
⚪,No,Zoho swap,,✨ Medium,
⚪,No,See Gerald he is ill,,✨ Medium,
⚪,No,Citizens,,✨ Medium,
⚪,No,Citizens Task: Zoho Project 2350689000000355043,,✨ Medium,
⚪,No,"Follow Up with Luis on Business Processes, Proposal, and Ongoing Matters",,✨ Medium,
⚪,No,Follow-up on Action Items - MTI4NDM1ODE2,,✨ Medium,
⚪,No,Update on Size Balance Calculation,,✨ Medium,
⚪,No,Complete Onboarding Process and Send to Angelo,,✨ Medium,
⚪,No,"""Prepare for Launch: Our New Beginning""",,✨ Medium,
⚪,No,Encoded Data Testing Task,,✨ Medium,
⚪,No,Visit the Body Shop with Reference Code,,✨ Medium,
⚪,No,Review Payroll Schedule,,✨ Medium,
⚪,No,Automate Time Tracking for MTI4NDM1ODE6,,✨ Medium,
⚪,No,Remove Customization Fees,,✨ Medium,
⚪,No,Resolve Pending Issues at Office Pride,,✨ Medium,
⚪,No,"""Continue Internal Wiki and Document Repository Reorganization for Improved Accessibility""",,✨ Medium,
⚪,No,Financial Data Validation Request,,✨ Medium,
⚪,No,Prepare for Onboarding the New Hire,,✨ Medium,
⚪,No,Contact Square Support for Account Access Issues and Domain Management,,✨ Medium,
⚪,No,Pick up my McDonald's cheeseburger,,✨ Medium,
⚪,No,Incorporate My Recommendations as Client Testimonials on Our Website,,✨ Medium,
⚪,No,Complete SRV September Transactions and Transition to New Software,,✨ Medium,
⚪,No,Create Account with Provided Authorization Code,,✨ Medium,
⚪,No,Onboarding Process for Angela,,✨ Medium,
⚪,No,Square Up Account Status Inquiry,,✨ Medium,
⚪,No,Check Status of Square Up Account with MTI4NDM1ODE6 Details,,✨ Medium,
⚪,No,Linking LinkedIn Account for QIP Setup,,✨ Medium,
⚪,No,Google Analytics and SEO Tag Setup for QIP,,✨ Medium,
⚪,No,Squarespace Domain Research Issue,,✨ Medium,
⚪,No,Set up Gmail integration for SquareUp account,,✨ Medium,
⚪,No,Add Credit to Zoho Voice,,✨ Medium,
⚪,No,Squareup Account Gmail Setup via Quip,,✨ Medium,
⚪,No,Create Square Account with Provided Access Code,,✨ Medium,
⚪,No,Add Credit to Zoho Voice Account: Specific User ID,,✨ Medium,
⚪,No,Citizens Energy Group - My Account Management,,✨ Medium,
⚪,No,Set Up Intuit Interview for Candidate MTI4NDM1ODE2MzQzNjgxMTYzNjQ,,✨ Medium,
⚪,No,Create Square Account with Provided Credentials,,✨ Medium,
⚪,No,Create Meta Account with Provided Identifier,,✨ Medium,
⚪,No,Work on QIP Website: Access Code MTI4NDM1ODE2MzQzNjgxMTYzNjQ6MDow,,✨ Medium,
⚪,No,QIP Yelp Page Analysis,,✨ Medium,
⚪,No,"Intuit Hiring QA Webinar - October 24, FY25",,✨ Medium,
⚪,No,Create Bing Webmaster Account with Provided Credentials,,✨ Medium,
⚪,No,Next Action,,✨ Medium,
🔴 Running Late,No,ITIN INQUIRY,"March 9, 2025",✨ Medium,
⚪,No,Shippo SDK,,✨ Medium,
⚪,No,"Square Dashboard ",,✨ Medium,
⚪,No,QiVerse Business Training,,✨ Medium,
⚪,No,Ultimate Accounting System for Business,,✨ Medium,
⚪,No,"It can buy me a boat ",,✨ Medium,
⚪,No,GMC Truck Dad,,✨ Medium,
⚪,No,Penny,,✨ Medium,
⚪,No,6.1 Business Projects,,✨ Medium,
⚪,No,6.2 Personal Projects,,✨ Medium,
⚪,No,ZAITULLAH JAN - CALL FOR W2,,✨ Medium,
⚪,No,Task Manager,,✨ Medium,
⚪,No,Prioritization for…,,✨ Medium,
⚪,No,New Priority to Decide for …,,✨ Medium,
⚪,No,Prioritization for…,,✨ Medium,
⚪,No,Prioritization for…,,✨ Medium,
⚪,No,Prioritization for…,,✨ Medium,
⚪,No,New Priority to Decide for …,,✨ Medium,
😀,Yes,Prioritization for…,,✨ Medium,
⚪,No,New Priority to Decide for …,,✨ Medium,
⚪,No,0000testtask,,✨ Medium,
⚪,No,Prioritization for…,,✨ Medium,
⚪,No,Prioritization for…,,✨ Medium,
⚪,No,Prioritization for…,,✨ Medium,
😀,Yes,Setup Mastery OS,"March 2, 2025",✨ Medium,
⚪,No,All Tasks,,✨ Medium,
⚪,No,Completed,,✨ Medium,
⚪,No,Dormant Tasks,,✨ Medium,
⚪,No,Timeline View,,✨ Medium,
🔴 Running Late,No,Tax Year 2021,"March 8, 2025",✨ Medium,
🔴 Running Late,No,Tax Year 2022,"March 8, 2025",✨ Medium,
🔴 Running Late,No,Tax Year 2023,"March 8, 2025",✨ Medium,
🔴 Running Late,No,Tax Year 2024,"March 8, 2025",✨ Medium,
🔴 Running Late,No,Reach out to initiate the process for his 2024 tax return.,"March 8, 2025",✨ Medium,
🔴 Running Late,No,Template Task,"March 12, 2025",✨ Medium,
🟢 On-Time,No,Export and update contact status phone numbers and remove unnecessary customers.,"March 14, 2025",✨ Medium,
🔴 Running Late,No,,"March 13, 2025",✨ Medium,
🔵,No,Continue client communication through phone calls (Joel).,"March 15, 2025",✨ Medium,
🔵,No,Schedule meetings for Emmanuel's Brother and Luis Dos Reis.,"March 21, 2025",✨ Medium,
🔴 Running Late,No,Follow up with clients regarding returns (Luis Munoz and others).,"March 12, 2025",✨ Medium,
🟢 On-Time,No,Complete Emmanuel's return and mail off Luis's returns.,"March 14, 2025",✨ Medium,
🔵,No,"Finalize legal agreements, engagement letters, and invoice notices.","March 22, 2025",✨ Medium,
🔵,No,"Create and implement 1099 checklist, workflows, and database.","March 26, 2025",✨ Medium,
🔵,No,Integrate Slack updates and chatbot functions.,"March 16, 2025",✨ Medium,
🟢 On-Time,No,Submit pending tax returns electronically.,"March 14, 2025",✨ Medium,
🔵,No,Prepare financial statements for Brothers Painting (P&L and Schedule C).,"March 19, 2025",✨ Medium,
🔵,No,Organize and laminate key client documents.,"March 27, 2025",✨ Medium,
🟢 On-Time,No,Improve and refine the client portal in Notion.,"March 14, 2025",✨ Medium,
🔵,No,Plan and distribute updated company policies and internal wikis.,"March 20, 2025",✨ Medium,
🔵,No,Develop a support ticket system integrated with Bigin CRM.,"March 31, 2025",✨ Medium,
🔵,No,"Explore new tools and strategies for operational efficiency (e.g., Gemini, Google Drive).","March 28, 2025",✨ Medium,
